,0
0,Andhra Pradesh
1,Assam
2,Bihar
3,Chhattisgarh
4,Goa
5,Gujarath
6,Haryana
7,Himachal Pradesh
8,Jharkhand
9,Karnataka
10,Kerala
11,Madhya Pradesh
12,Maharashtra
13,Manipur
14,Meghalaya
15,Mizoram
16,Nagaland
17,Odisha
18,Punjab
19,Rajasthan
20,Sikkim
21,Tamil Nadu-49.0
22,Telangana
23,Tripura
24,Uttarakhand	
25,Uttar Pradesh
26,West Bengal
27,Ladakh
28,Jammu and Kashmir
29,Puducherry
30,Lakshadweep
31,Andaman and Nicobar Islands
32,Dadra and Nagar Haveli
33,Chandigarh
34,Delhi
